id_aluno,horas_estudo_semana,frequencia_percentual,atividades_entregues,media_exercicios,participacao_aulas,acessos_plataforma_semana,faltas_mes,situacao_final
A001,6.2,81.7,9,7.1,6,6,1,Desempenho_satisfatorio
A002,2.5,77.9,7,5.1,6,11,4,Precisa_atencao
A003,3.2,94.2,10,6.8,4,3,1,Desempenho_satisfatorio
A004,10.4,72.6,7,6.1,8,22,2,Desempenho_satisfatorio
A005,4.0,84.5,8,6.0,7,3,2,Desempenho_satisfatorio
A006,11.7,72.3,6,2.7,4,7,4,Precisa_atencao
A007,4.9,69.2,6,4.5,2,6,5,Precisa_atencao
A008,,83.2,7,3.8,7,4,2,Precisa_atencao
A009,5.8,81.4,9,7.9,8,10,2,Desempenho_satisfatorio
A010,6.9,88.9,8,2.4,5,10,1,Desempenho_satisfatorio
A011,3.4,66.0,4,4.0,7,4,6,Precisa_atencao
A012,6.8,81.9,9,4.5,4,7,1,Desempenho_satisfatorio
A013,8.2,82.5,9,5.8,8,11,2,Desempenho_satisfatorio
A014,9.3,72.4,8,5.6,7,7,4,Precisa_atencao
A015,6.3,91.8,9,8.0,6,,2,Precisa_atencao
A016,2.9,72.7,9,4.8,6,5,2,Precisa_atencao
A017,5.0,79.6,7,2.7,5,13,3,Desempenho_satisfatorio
A018,7.4,85.4,8,5.0,0,8,4,Precisa_atencao
A019,3.4,83.5,10,7.3,6,3,4,Desempenho_satisfatorio
A020,7.6,89.8,10,3.8,10,7,3,Desempenho_satisfatorio
A021,11.8,87.3,10,7.4,9,21,2,Desempenho_satisfatorio
A022,4.2,84.7,7,2.4,3,11,2,Precisa_atencao
A023,6.8,55.0,6,5.6,6,6,8,Precisa_atencao
A024,7.8,71.0,6,4.3,3,4,5,Precisa_atencao
A025,9.4,91.8,10,5.5,5,7,2,Desempenho_satisfatorio
A026,,71.7,5,5.8,5,7,5,Precisa_atencao
A027,4.8,94.9,10,6.5,7,4,0,Desempenho_satisfatorio
A028,5.0,82.2,5,1.5,6,8,5,Precisa_atencao
A029,9.7,80.3,10,6.1,4,7,2,Desempenho_satisfatorio
A030,12.8,85.2,10,7.0,7,7,2,Desempenho_satisfatorio
A031,7.2,62.3,5,1.6,4,6,6,Precisa_atencao
A032,5.4,81.4,7,4.8,3,7,3,Desempenho_satisfatorio
A033,5.1,100.0,10,5.2,6,6,0,Precisa_atencao
A034,5.8,95.3,10,4.3,9,4,1,Desempenho_satisfatorio
A035,6.0,75.4,6,6.1,3,14,6,Desempenho_satisfatorio
A036,8.1,96.5,10,7.7,6,4,1,Desempenho_satisfatorio
A037,0.8,65.2,8,2.3,6,6,4,Precisa_atencao
A038,5.5,79.4,7,6.1,6,8,1,Desempenho_satisfatorio
A039,5.3,78.1,3,3.3,6,4,4,Precisa_atencao
A040,6.2,85.2,9,4.7,5,,1,Desempenho_satisfatorio
A041,7.7,83.2,10,6.2,8,14,2,Desempenho_satisfatorio
A042,8.5,79.5,8,6.5,4,7,4,Desempenho_satisfatorio
A043,8.7,77.6,8,5.1,7,14,4,Desempenho_satisfatorio
A044,8.4,76.3,7,5.7,6,8,6,Desempenho_satisfatorio
A045,2.3,79.0,8,1.7,3,4,3,Precisa_atencao
A046,3.5,80.1,7,5.2,4,6,1,Precisa_atencao
A047,7.5,71.6,5,4.7,8,13,4,Precisa_atencao
A048,0.5,90.8,9,6.1,5,0,1,Desempenho_satisfatorio
A049,,84.9,10,5.9,9,11,3,Desempenho_satisfatorio
A050,7.1,100.0,10,6.9,10,12,0,Desempenho_satisfatorio
A051,4.8,89.5,9,5.6,8,8,2,Desempenho_satisfatorio
A052,6.4,83.7,8,3.4,6,8,3,Desempenho_satisfatorio
A053,11.8,87.4,10,4.8,7,17,2,Desempenho_satisfatorio
A054,4.0,90.1,10,7.7,4,8,1,Desempenho_satisfatorio
A055,6.5,74.4,4,4.8,7,7,4,Precisa_atencao
A056,6.3,86.4,9,5.1,5,9,4,Desempenho_satisfatorio
A057,7.1,84.7,9,6.1,8,6,1,Desempenho_satisfatorio
A058,5.8,72.6,8,5.0,6,10,4,Desempenho_satisfatorio
A059,7.0,98.3,10,3.9,6,11,0,Desempenho_satisfatorio
A060,4.3,81.2,5,4.3,6,8,4,Precisa_atencao
A061,5.1,85.4,6,0.9,6,6,4,Precisa_atencao
A062,4.9,95.0,10,6.8,5,7,1,Desempenho_satisfatorio
A063,3.3,81.0,9,4.8,4,6,3,Precisa_atencao
A064,2.0,84.6,7,7.3,6,3,3,Desempenho_satisfatorio
A065,5.2,89.5,9,5.6,5,,2,Precisa_atencao
A066,9.4,74.6,9,7.4,4,2,4,Desempenho_satisfatorio
A067,10.2,80.1,10,7.5,6,10,4,Desempenho_satisfatorio
A068,3.7,71.5,5,1.7,2,2,4,Precisa_atencao
A069,8.2,99.7,10,5.8,5,7,0,Desempenho_satisfatorio
A070,9.2,76.6,7,5.0,2,8,4,Precisa_atencao
A071,7.5,70.8,6,6.0,4,12,4,Desempenho_satisfatorio
A072,3.3,64.4,7,4.9,3,5,5,Precisa_atencao
A073,7.9,90.3,10,6.7,9,13,1,Desempenho_satisfatorio
A074,7.5,69.0,6,6.0,6,8,5,Precisa_atencao
A075,0.6,98.2,10,6.6,6,1,1,Desempenho_satisfatorio
A076,7.9,90.9,9,6.0,5,10,1,Desempenho_satisfatorio
A077,,89.8,9,8.6,3,1,2,Desempenho_satisfatorio
A078,0.5,81.2,9,5.5,5,0,2,Precisa_atencao
A079,3.8,95.3,10,5.6,6,4,0,Precisa_atencao
A080,7.9,93.6,9,6.5,5,12,0,Desempenho_satisfatorio
A081,4.8,100.0,10,7.0,6,6,0,Desempenho_satisfatorio
A082,6.0,68.8,5,4.3,3,11,5,Precisa_atencao
A083,8.4,70.5,7,4.0,8,10,6,Precisa_atencao
A084,7.2,96.0,10,7.3,4,9,2,Desempenho_satisfatorio
A085,12.7,93.9,10,9.5,8,12,1,Desempenho_satisfatorio
A086,3.8,100.0,9,4.7,7,4,1,Precisa_atencao
A087,0.5,71.5,3,1.5,4,2,5,Precisa_atencao
A088,8.4,82.6,8,5.4,5,15,3,Desempenho_satisfatorio
A089,8.1,75.2,6,5.7,2,,3,Precisa_atencao
A090,6.4,99.2,10,6.9,6,5,0,Desempenho_satisfatorio
A091,6.6,76.7,6,5.1,5,7,4,Precisa_atencao
A092,7.9,76.2,5,4.4,7,16,5,Desempenho_satisfatorio
A093,5.6,86.0,9,4.6,5,5,2,Desempenho_satisfatorio
A094,8.0,75.4,7,5.7,3,5,5,Precisa_atencao
A095,9.0,76.3,8,6.9,8,18,5,Desempenho_satisfatorio
A096,0.5,80.6,7,4.3,8,8,3,Precisa_atencao
A097,3.5,75.3,7,4.5,7,2,4,Precisa_atencao
A098,4.5,70.0,8,3.7,3,5,5,Precisa_atencao
A099,7.2,75.4,6,3.2,4,10,3,Precisa_atencao
A100,7.0,65.5,5,2.9,7,9,6,Precisa_atencao
A101,7.0,91.2,8,6.2,2,14,3,Desempenho_satisfatorio
A102,,87.3,9,1.9,5,8,2,Desempenho_satisfatorio
A103,3.0,71.1,9,3.9,4,4,3,Precisa_atencao
A104,5.8,77.7,8,2.3,4,5,5,Precisa_atencao
A105,8.1,71.0,6,2.7,5,9,4,Precisa_atencao
A106,2.8,100.0,10,5.4,7,6,0,Precisa_atencao
A107,6.8,78.0,10,6.0,7,8,2,Desempenho_satisfatorio
A108,3.2,76.8,7,0.7,4,5,4,Precisa_atencao
A109,1.4,72.0,4,2.0,4,6,6,Precisa_atencao
A110,9.5,84.9,10,6.5,8,8,2,Desempenho_satisfatorio
A111,13.6,72.8,8,5.0,7,9,6,Precisa_atencao
A112,6.0,67.1,6,5.4,3,7,4,Precisa_atencao
A113,3.1,81.8,7,2.9,4,9,3,Precisa_atencao
A114,1.4,67.0,5,1.8,6,3,5,Precisa_atencao
A115,8.5,82.1,4,5.1,5,11,4,Precisa_atencao
A116,4.9,92.3,10,4.0,1,3,2,Precisa_atencao
A117,7.7,94.0,10,6.6,7,13,1,Desempenho_satisfatorio
A118,4.1,84.1,10,4.6,4,5,2,Desempenho_satisfatorio
A119,9.1,94.1,9,7.5,6,15,2,Desempenho_satisfatorio
A120,1.2,74.4,4,5.0,5,7,6,Precisa_atencao
A121,8.5,79.8,9,6.4,7,5,4,Precisa_atencao
A122,8.4,90.2,10,8.3,6,,0,Desempenho_satisfatorio
A123,9.0,68.6,9,5.1,4,9,5,Precisa_atencao
